Date,open,high,low,adj_close,ema_short,ema_long,diff_ema,trend,volume
2020-01-01,129.6306610107422,132.83535766601562,129.1982879638672,130.802001953125,130.802001953125,130.802001953125,0.0,0.0,7935230330
2020-01-02,130.82003784179688,130.82003784179688,126.95491027832031,127.4101791381836,128.25813484191895,128.76690826416015,-0.5087734222412053,0.0,8032709256
2020-01-03,127.41126251220703,134.55401611328125,126.49002075195312,134.1717071533203,132.35214644211987,131.32707615902547,1.0250702830944078,0.0,10476845358
2020-01-04,134.16851806640625,136.05271911621094,133.04055786132812,135.06936645507812,134.1862699508667,132.88156597430887,1.3047039765578177,0.0,7430904515
2020-01-05,135.0720977783203,139.4102020263672,135.04562377929688,136.2767791748047,135.5857017454037,134.18494165791154,1.4007600874921593,1.0,7526675353
2020-01-06,136.3055419921875,144.32818603515625,136.0796356201172,144.3041534423828,141.40598680684855,137.8826385956958,3.5233482111527508,1.0,9093747121
2020-01-07,144.31199645996094,145.00177001953125,140.48887634277344,143.5439910888672,142.8319750242242,139.8870708285865,2.9449041956376902,1.0,9257954672
2020-01-08,143.48782348632812,146.8280029296875,138.26820373535156,141.2581329345703,141.78258702115315,140.36264780333457,1.4199392178185803,1.0,9387194957
2020-01-09,141.15577697753906,141.39398193359375,136.2364044189453,138.9792022705078,139.9135688980982,139.88918339663297,0.02438550146521834,0.0,7697325348
2020-01-10,138.967041015625,144.16732788085938,135.52040100097656,143.96377563476562,142.61375245038872,141.27134968742428,1.34240276296444,0.0,9084816203
2020-01-11,143.4091033935547,146.4809112548828,142.2079620361328,142.92710876464844,142.82265783917222,141.82972476524316,0.9929330739290663,0.0,9332208590
2020-01-12,143.0325469970703,146.14585876464844,142.7076416015625,145.87393188476562,144.85684436391531,143.1882645420535,1.6685798218618118,1.0,8528167453
2020-01-13,146.2201385498047,146.79122924804688,142.90713500976562,144.22659301757812,144.43667653615054,143.53616160942138,0.9005149267291586,0.0,8378529470
